"Date","value"
2017-01-12,23.919
2017-01-13,24.0024552895786
2017-01-14,24.103740252008
2017-01-15,24.078
2017-01-16,24.394162210991
2017-01-17,24.5832992075446
2017-01-18,24.959
2017-01-19,24.832543629346
2017-01-20,24.8926510545938
2017-01-21,25.16
2017-01-22,24.8695353924701
2017-01-23,24.7863123050986
2017-01-24,24.391
2017-01-25,24.8357104627345
2017-01-26,24.9683317077419
2017-01-27,25.349
2017-01-28,25.062022134208
2017-01-29,25.0230913156667
2017-01-30,25.019
2017-01-31,24.9211342955615
2017-02-01,24.8581080939975
2017-02-02,24.915
2017-02-03,24.6491190099541
2017-02-04,24.5031561274746
2017-02-05,24.054
2017-02-06,24.4209221423995
2017-02-07,24.4846510398039
2017-02-08,24.384
2017-02-09,24.7257958054781
2017-02-10,24.903211673748
2017-02-11,25.305
2017-02-12,25.1028649528259
2017-02-13,25.1251023636339
2017-02-14,25.316
2017-02-15,25.0529299199278
2017-02-16,24.9585200654136
2017-02-17,25.093
2017-02-18,24.611397663083
2017-02-19,24.3586851152667
2017-02-20,24.044
2017-02-21,23.8961209282694
2017-02-22,23.6862692890885
2017-02-23,23.389
2017-02-24,23.3270250179936
2017-02-25,23.1776323860795
2017-02-26,22.887
2017-02-27,22.9765300882479
2017-02-28,22.9248204223305
2017-03-01,22.502
2017-03-02,23.0780653675892
2017-03-03,23.2830199787652
2017-03-04,23.922
2017-03-05,23.3927524582235
2017-03-06,23.2975303265058
2017-03-07,23.28
2017-03-08,23.0533535568679
2017-03-09,22.9043989189477
2017-03-10,22.755
2017-03-11,22.6067969127478
2017-03-12,22.4581495444682
2017-03-13,22.236
2017-03-14,22.2116897206411
2017-03-15,22.1138772650936
2017-03-16,21.59
2017-03-17,22.2129234581027
2017-03-18,22.4097821066592
2017-03-19,22.322
2017-03-20,23.0003600778602
2017-03-21,23.3940794005047
2017-03-22,24.604
2017-03-23,23.6170242738793
2017-03-24,23.4462498246093
2017-03-25,23.296
2017-03-26,23.0905058701189
2017-03-27,22.9055363648984
2017-03-28,22.071
2017-03-29,22.9848449323893
2017-03-30,23.2491230051007
2017-03-31,23.736
2017-04-01,23.6237272899056
2017-04-02,23.7340535019991
2017-04-03,24.534
2017-04-04,23.4777569585459
2017-04-05,23.1111342029992
2017-04-06,22.634
2017-04-07,22.4543196233212
2017-04-08,22.1641277991899
2017-04-09,21.679
2017-04-10,21.7185640133358
2017-04-11,21.563192051613
2017-04-12,21.346
2017-04-13,21.2952035816469
2017-04-14,21.1825870734035
2017-04-15,21.41
2017-04-16,20.7221859633612
2017-04-17,20.3744013615622
2017-04-18,19.888
2017-04-19,19.7747010322096
2017-04-20,19.522785304656
2017-04-21,18.582
2017-04-22,19.4953836187301
2017-04-23,19.7198976603579
2017-04-24,20.353
2017-04-25,19.8863415869259
2017-04-26,19.8282714718661
2017-04-27,20.118
2017-04-28,19.4715898783213
2017-04-29,19.1729783998363
2017-04-30,18.836
2017-05-01,18.6022904272685
2017-05-02,18.3302139331857
2017-05-03,18.18
2017-05-04,17.7017794588144
2017-05-05,17.3454214785259
2017-05-06,16.9
2017-05-07,16.6943028120059
2017-05-08,16.3995421257744
2017-05-09,15.63
2017-05-10,16.1383848140449
2017-05-11,16.1719881885469
2017-05-12,16.546
2017-05-13,16.0037647219704
2017-05-14,15.8019378808919
2017-05-15,15.633
2017-05-16,15.375537832469
2017-05-17,15.1509646251245
2017-05-18,14.952
2017-05-19,14.6841070335717
2017-05-20,14.4418226493635
2017-05-21,14.116
2017-05-22,14.0150298630902
2017-05-23,13.8305214610252
2017-05-24,13.598
2017-05-25,13.4947110160646
2017-05-26,13.343408973169
2017-05-27,13.173
2017-05-28,13.0540194503118
2017-05-29,12.9159319703502
2017-05-30,12.698
2017-05-31,12.6949783373525
2017-06-01,12.6121121843164
2017-06-02,12.533
2017-06-03,12.4437835922272
2017-06-04,12.358321153174
2017-06-05,12.221
2017-06-06,12.2232623316043
2017-06-07,12.1736659490877
2017-06-08,12.051
2017-06-09,12.1250088992216
2017-06-10,12.125948231872
2017-06-11,11.865
2017-06-12,12.3089512145534
2017-06-13,12.4910148645844
2017-06-14,11.793
2017-06-15,13.4638141361151
2017-06-16,14.2545497576148
2017-06-17,17.028
2017-06-18,14.4647537817096
2017-06-19,13.8842221843047
2017-06-20,12.659
2017-06-21,13.1690340835906
2017-06-22,13.0343775802813
2017-06-23,13
2017-06-24,12.6957105685797
2017-06-25,12.4917000601874
2017-06-26,12.151
2017-06-27,12.1782150394401
2017-06-28,12.0687405270851
2017-06-29,11.898
2017-06-30,11.8921637513854
2017-07-01,11.8250614880406
2017-07-02,11.746
2017-07-03,11.6991280925649
2017-07-04,11.640296960434
2017-07-05,11.535
2017-07-06,11.5547709736172
2017-07-07,11.5280761189314
2017-07-08,11.486
2017-07-09,11.4853242609293
2017-07-10,11.4692672576131
2017-07-11,11.468
2017-07-12,11.4269245003349
2017-07-13,11.4006387463729
2017-07-14,11.353
2017-07-15,11.3628352026383
2017-07-16,11.3513174128655
2017-07-17,11.33
2017-07-18,11.3350593603344
2017-07-19,11.330319097576
2017-07-20,11.324
2017-07-21,11.3219305115682
2017-07-22,11.3182821883188
2017-07-23,11.312
2017-07-24,11.3128071518441
2017-07-25,11.3109804386189
2017-07-26,11.31
2017-07-27,11.3067417193514
2017-07-28,11.3043297133091
2017-07-29,11.301
2017-07-30,11.3001403976545
2017-07-31,11.2983630880421
2017-08-01,11.296
2017-08-02,11.2952135996163
2017-08-03,11.2938414208029
2017-08-04,11.291
2017-08-05,11.2921132070806
2017-08-06,11.2917571721719
2017-08-07,11.291
2017-08-08,11.2913225332934
2017-08-09,11.2912439293236
2017-08-10,11.291
2017-08-11,11.2912010622156
2017-08-12,11.2912367990773
2017-08-13,11.291
2017-08-14,11.291496761651
2017-08-15,11.291720987363
2017-08-16,11.292
2017-08-17,11.2921315475474
2017-08-18,11.2923178820199
2017-08-19,11.291
2017-08-20,11.2937308836203
2017-08-21,11.2949575507481
2017-08-22,11.292
2017-08-23,11.3003047360651
2017-08-24,11.3044252542543
2017-08-25,11.291
2017-08-26,11.3248011396566
2017-08-27,11.3410565068698
2017-08-28,11.292
2017-08-29,11.4187376510927
2017-08-30,11.4801634281025
2017-08-31,11.291
2017-09-01,11.7763252299824
2017-09-02,12.0110612548524
2017-09-03,11.361
2017-09-04,13.0924688258616
2017-09-05,13.9391403720007
2017-09-06,15.494
2017-09-07,15.1426928049252
2017-09-08,15.4995736917106
2017-09-09,16.902
2017-09-10,15.4902247627719
2017-09-11,15.1239949470478
2017-09-12,14.602
2017-09-13,14.4992641920516
2017-09-14,14.2407632527794
2017-09-15,13.796
2017-09-16,13.8525824370038
2017-09-17,13.7229025605004
2017-09-18,13.385
2017-09-19,13.6075519038053
